scoring_item_id,score_model_id,score_group,category,criterion,min_value,max_value,min_inclusive,max_inclusive,value_text,unit,measurement_window_value,measurement_window_unit,points,maximum_points,is_mandatory,minimum_required_points,exclusive_group,stacking_rule,evidence_document,display_order,valid_from,valid_to,source_document_id,source_page
8342bb1c-8fb3-41f9-b1bd-7397f03a9e8f,eb2823dd-df20-48ac-a104-faef9e85d128,BASE,income,평균소득(최근 2년 연간 평균소득),2500,2999,true,true,최근 2년간 소득 합계를 2로 나눈 연간 평균소득. 신청 당시 가장 최근 2년 소득을 사용하는 것이 원칙이며 세무서 발행 전년도 소득금액증명으로 확인함. 재입국 공백 등으로 최근 2년 입증이 불가능하면 2021~2025년 중 연간 소득금액이 높은 2개년으로 대체 가능.,만원,2,YEAR,50,120,true,50,,STACK,세무서 발행 소득금액증명원,1,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,3-4
a943a8ad-fc2a-4330-8cb5-19db555733ed,eb2823dd-df20-48ac-a104-faef9e85d128,BASE,income,평균소득(최근 2년 연간 평균소득),3000,3499,true,true,최근 2년간 소득 합계를 2로 나눈 연간 평균소득. 신청 당시 가장 최근 2년 소득을 사용하는 것이 원칙이며 세무서 발행 전년도 소득금액증명으로 확인함. 재입국 공백 등으로 최근 2년 입증이 불가능하면 2021~2025년 중 연간 소득금액이 높은 2개년으로 대체 가능.,만원,2,YEAR,65,120,true,50,,STACK,세무서 발행 소득금액증명원,2,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,3-4
1eb4aaa9-2582-44be-9ca0-88f40f851e1b,eb2823dd-df20-48ac-a104-faef9e85d128,BASE,income,평균소득(최근 2년 연간 평균소득),3500,3999,true,true,최근 2년간 소득 합계를 2로 나눈 연간 평균소득. 신청 당시 가장 최근 2년 소득을 사용하는 것이 원칙이며 세무서 발행 전년도 소득금액증명으로 확인함. 재입국 공백 등으로 최근 2년 입증이 불가능하면 2021~2025년 중 연간 소득금액이 높은 2개년으로 대체 가능.,만원,2,YEAR,80,120,true,50,,STACK,세무서 발행 소득금액증명원,3,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,3-4
6820a916-d072-4170-b97b-facc164ee28e,eb2823dd-df20-48ac-a104-faef9e85d128,BASE,income,평균소득(최근 2년 연간 평균소득),4000,4499,true,true,최근 2년간 소득 합계를 2로 나눈 연간 평균소득. 신청 당시 가장 최근 2년 소득을 사용하는 것이 원칙이며 세무서 발행 전년도 소득금액증명으로 확인함. 재입국 공백 등으로 최근 2년 입증이 불가능하면 2021~2025년 중 연간 소득금액이 높은 2개년으로 대체 가능.,만원,2,YEAR,95,120,true,50,,STACK,세무서 발행 소득금액증명원,4,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,3-4
00c2aa1b-0dab-405d-96a9-6f95f2565928,eb2823dd-df20-48ac-a104-faef9e85d128,BASE,income,평균소득(최근 2년 연간 평균소득),4500,4999,true,true,최근 2년간 소득 합계를 2로 나눈 연간 평균소득. 신청 당시 가장 최근 2년 소득을 사용하는 것이 원칙이며 세무서 발행 전년도 소득금액증명으로 확인함. 재입국 공백 등으로 최근 2년 입증이 불가능하면 2021~2025년 중 연간 소득금액이 높은 2개년으로 대체 가능.,만원,2,YEAR,110,120,true,50,,STACK,세무서 발행 소득금액증명원,5,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,3-4
d8bf2fb6-2083-4717-8b33-4ea41b08c671,eb2823dd-df20-48ac-a104-faef9e85d128,BASE,income,평균소득(최근 2년 연간 평균소득),5000,,true,,최근 2년간 소득 합계를 2로 나눈 연간 평균소득. 신청 당시 가장 최근 2년 소득을 사용하는 것이 원칙이며 세무서 발행 전년도 소득금액증명으로 확인함. 재입국 공백 등으로 최근 2년 입증이 불가능하면 2021~2025년 중 연간 소득금액이 높은 2개년으로 대체 가능.,만원,2,YEAR,120,120,true,50,,STACK,세무서 발행 소득금액증명원,6,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,3-4
e692d638-f4c0-4643-a8a9-fdaa3e1fc499,eb2823dd-df20-48ac-a104-faef9e85d128,BASE,language,한국어능력 - 2급/2단계/41~60점,41,60,true,true,"한국어능력 특례 대상은 최초 체류기간 연장 시 요건을 보완해야 하며, 2년 내 미충족 시 6개월의 추가 보완기간을 부여함. 그 6개월 내에도 미충족하면 추가 기간 연장을 불허하고 체류허가를 취소함.",점(사전평가 기준),,,50,120,true,50,,STACK,TOPIK 성적표 또는 사회통합프로그램 이수/사전평가 확인서,7,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,3-4
50e64655-572c-436c-a466-1fe6ac9e0f7e,eb2823dd-df20-48ac-a104-faef9e85d128,BASE,language,한국어능력 - 3급/3단계/61~80점,61,80,true,true,"한국어능력 특례 대상은 최초 체류기간 연장 시 요건을 보완해야 하며, 2년 내 미충족 시 6개월의 추가 보완기간을 부여함. 그 6개월 내에도 미충족하면 추가 기간 연장을 불허하고 체류허가를 취소함.",점(사전평가 기준),,,80,120,true,50,,STACK,TOPIK 성적표 또는 사회통합프로그램 이수/사전평가 확인서,8,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,3-4
d94a00c3-e7cb-45d8-8f5c-bc32e70c83f6,eb2823dd-df20-48ac-a104-faef9e85d128,BASE,language,한국어능력 - 4급/4단계/81점 이상,81,,true,,"한국어능력 특례 대상은 최초 체류기간 연장 시 요건을 보완해야 하며, 2년 내 미충족 시 6개월의 추가 보완기간을 부여함. 그 6개월 내에도 미충족하면 추가 기간 연장을 불허하고 체류허가를 취소함.",점(사전평가 기준),,,120,120,true,50,,STACK,TOPIK 성적표 또는 사회통합프로그램 이수/사전평가 확인서,9,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,3-4
6c1ab39a-5436-46b1-8853-42350ebd91aa,eb2823dd-df20-48ac-a104-faef9e85d128,BASE,age,나이(만 나이 기준),19,26,true,true,"현재 연도에서 출생 연도를 뺀 뒤, 계산 시점에 생일이 지났으면 그 수치를 사용하고 생일이 지나지 않았으면 1년을 뺀 수치를 사용함.",세,,,40,60,false,,,STACK,여권 또는 외국인등록증,10,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,3-4
6e9009dd-6833-4eb6-9892-3f74e87dc1fe,eb2823dd-df20-48ac-a104-faef9e85d128,BASE,age,나이(만 나이 기준),27,33,true,true,"현재 연도에서 출생 연도를 뺀 뒤, 계산 시점에 생일이 지났으면 그 수치를 사용하고 생일이 지나지 않았으면 1년을 뺀 수치를 사용함.",세,,,60,60,false,,,STACK,여권 또는 외국인등록증,11,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,3-4
128c440e-e7c7-4458-bb7c-752ae7ba49a9,eb2823dd-df20-48ac-a104-faef9e85d128,BASE,age,나이(만 나이 기준),34,40,true,true,"현재 연도에서 출생 연도를 뺀 뒤, 계산 시점에 생일이 지났으면 그 수치를 사용하고 생일이 지나지 않았으면 1년을 뺀 수치를 사용함.",세,,,30,60,false,,,STACK,여권 또는 외국인등록증,12,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,3-4
d2953518-41e3-415a-8306-87666eae68b5,eb2823dd-df20-48ac-a104-faef9e85d128,BASE,age,나이(만 나이 기준),41,,true,,"현재 연도에서 출생 연도를 뺀 뒤, 계산 시점에 생일이 지났으면 그 수치를 사용하고 생일이 지나지 않았으면 1년을 뺀 수치를 사용함.",세,,,10,60,false,,,STACK,여권 또는 외국인등록증,13,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,3-4
