score_id,score_group,category,criterion,min_value,max_value,unit,points,maximum_points,is_mandatory,minimum_required_points,evidence_document,source_document,source_page,raw_text,notes
SCORE-000,총점기준,threshold,총점 및 최소 득점 기준,,,,,300,,200,,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),3,❍ 아래 지역특화 숙련기능인력 점수표 기본항목의 평균소득 및 한국어    능력 점수가 각각 최소 점수(50점) 이상자로 총점 300점 만점에 가점    포함 200점 이상 득점자,총점 300점 만점(평균소득 120 + 한국어능력 120 + 나이 60)에 가점 포함 200점 이상 득점 필요. 평균소득·한국어능력은 각각 최소 50점 이상이어야 함(기본항목 개별 최소 기준).
SCORE-011,기본항목,income,평균소득(최근 2년 연간 평균소득),2500,2999,만원,50,120,TRUE,50,세무서 발행 소득금액증명원,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),3,2500만원~ | 50점,"구간은 '해당 값 이상 ~ 다음 구간 시작 전까지'로 해석함 (예: 2,500만원 이상 3,000만원 미만). 농·축산업, 어업·내항상선 종사자는 연봉 2,400만원 이상이면 인정"
SCORE-012,기본항목,income,평균소득(최근 2년 연간 평균소득),3000,3499,만원,65,120,TRUE,50,세무서 발행 소득금액증명원,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),3,3000만원~ | 65점,"구간은 '해당 값 이상 ~ 다음 구간 시작 전까지'로 해석함 (예: 2,500만원 이상 3,000만원 미만)"
SCORE-013,기본항목,income,평균소득(최근 2년 연간 평균소득),3500,3999,만원,80,120,TRUE,50,세무서 발행 소득금액증명원,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),3,3500만원~ | 80점,"구간은 '해당 값 이상 ~ 다음 구간 시작 전까지'로 해석함 (예: 2,500만원 이상 3,000만원 미만)"
SCORE-014,기본항목,income,평균소득(최근 2년 연간 평균소득),4000,4499,만원,95,120,TRUE,50,세무서 발행 소득금액증명원,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),3,4000만원~ | 95점,"구간은 '해당 값 이상 ~ 다음 구간 시작 전까지'로 해석함 (예: 2,500만원 이상 3,000만원 미만)"
SCORE-015,기본항목,income,평균소득(최근 2년 연간 평균소득),4500,4999,만원,110,120,TRUE,50,세무서 발행 소득금액증명원,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),3,4500만원~ | 110점,"구간은 '해당 값 이상 ~ 다음 구간 시작 전까지'로 해석함 (예: 2,500만원 이상 3,000만원 미만)"
SCORE-016,기본항목,income,평균소득(최근 2년 연간 평균소득),5000,,만원,120,120,TRUE,50,세무서 발행 소득금액증명원,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),3,5000만원~ | 120점,"구간은 '해당 값 이상 ~ 다음 구간 시작 전까지'로 해석함 (예: 2,500만원 이상 3,000만원 미만)"
SCORE-021,기본항목,language,한국어능력 - 2급/2단계/41~60점,41,60,점(사전평가 기준),50,120,TRUE,50,TOPIK 성적표 또는 사회통합프로그램 이수/사전평가 확인서,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),3,2급/2단계/41~60점 | 50점,"TOPIK 급수·사회통합프로그램 단계·사전평가 점수 중 하나로 충족 가능(택1). 한국어능력 특례 한시적 운영(~26.12.31): 다른 요건 충족 시 최초 연장(2년)까지 한국어능력 보완 조건으로 한시적 유예(2년 내 미충족 시 가족초청 불가, 체류기간 6개월만 부여). [확인됨] 4페이지 자격요건 문구는 '사회통합프로그램 2단계 이상 이수 또는 사전평가에서 3단계 이상 배정'이라고 해서 이수/사전평가 단계 숫자가 다름 - 오타 아님. F-2-R 공고문에도 동일 패턴('3단계 이상 이수, 사전평가 4단계 이상 배정 포함')이 있어 사전평가 배정 단계가 이수 단계보다 1단계 높게 요구되는 게 사회통합프로그램의 일반적 운영 방식으로 보임"
SCORE-022,기본항목,language,한국어능력 - 3급/3단계/61~80점,61,80,점(사전평가 기준),80,120,TRUE,50,TOPIK 성적표 또는 사회통합프로그램 이수/사전평가 확인서,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),3,3급/3단계/61~80점 | 80점,TOPIK 급수·사회통합프로그램 단계·사전평가 점수 중 하나로 충족 가능(택1)
SCORE-023,기본항목,language,한국어능력 - 4급/4단계/81점 이상,81,,점(사전평가 기준),120,120,TRUE,50,TOPIK 성적표 또는 사회통합프로그램 이수/사전평가 확인서,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),3,4급/4단계/81점 이상 | 120점,TOPIK 급수·사회통합프로그램 단계·사전평가 점수 중 하나로 충족 가능(택1)
