change_id,from_round,to_round,requirement_type,criterion_name,old_value,new_value,change_type,old_source_page,new_source_page,description
CHG-001,1,2,employment,고용 가능 인원 산정 기준,"비전문취업(E-9)·선원취업(E-10) 근로자 고용 기업은 최소 1명(인구감소지역·뿌리산업은 2명) 고용 가능. 지역특화 숙련기능인력(E-7-4R) 이외 취업이 가능한 체류자격(E-7, E-9, E-10, H-2 및 F-2, F-4, F-5, F-6)은 외국인 고용인원에서 제외, 단 기존 숙련기능인력(E-7-4) 인원은 고용인원에 포함","숙련기능인력(E-7-4)과 지역특화형 숙련기능인력(E-7-4R)을 합산해 고용인원 산정, 다른 체류자격 외국인은 제외. E-9·E-10 근로자가 E-7-4R로 전환 시 내국인 고용인원 없어도 인구감소관심지역 1명·인구감소지역 2명 허용",value_changed,7,7,고용 가능 인원 산정 기준이 전면 개편됨 - E-9/E-10 최소인원 방식에서 E-7-4/E-7-4R 합산 방식으로 계산 근거 자체가 바뀜 / PDF 페이지 기준(1~7차는 HWPX 오프셋 검증 안 됨)
CHG-002,1,2,applicant_status,체류기간,"3회 부여, 체류기간 2년 이내에서 고용계약 범위 내 부여",최대 2년 1개월 범위 내에서 '근로계약기간 + 1개월' 부여,value_changed,7,7,"체류기간 산정 방식이 '고용계약 범위 내 최대 2년, 3회 부여'에서 '근로계약기간+1개월(최대 2년1개월)'로 바뀜 / PDF 페이지 기준(1~7차는 HWPX 오프셋 검증 안 됨)"
CHG-003,1,2,residence,허가조건(거주 의무),체류자격 전환 이후 3년간 해당 광역자치단체에 체류지(주소)를 계속 두고 있어야 함,체류자격을 받은 날로부터 3년 이상 추천지역(인구감소지역 또는 인구감소관심지역)에서 거주하면서 취업활동을 하고자 할 것,scope_changed,7,7,허가조건이 '광역자치단체 내 주소 유지'라는 느슨한 기준에서 '추천지역 거주 + 취업활동'이라는 더 구체적이고 좁은 기준으로 바뀜 / PDF 페이지 기준(1~7차는 HWPX 오프셋 검증 안 됨)
CHG-004,1,2,conduct,고용주 결격사유 근거 법령,「외국인 불법고용주 등에 대한 사증발급인정서 발급 등 제한 기준」(체류관리과-...)에 해당되지 않을 것,출입국관리법 시행규칙 제17조의3제2항 각호에 해당하지 않을 것 (위 지침은 세부 심사 기준으로 준용),procedure_changed,7,7,"고용주 결격사유의 1차 법적 근거가 행정지침 직접 인용에서 시행규칙 조항으로 바뀌고, 기존 지침은 심사 세부기준으로 격하됨 / PDF 페이지 기준(1~7차는 HWPX 오프셋 검증 안 됨)"
CHG-005,1,2,procedure,광역지자체장 추천서(서식8),"지역우수인재/대상숙련기능인력/외국국적동포가족 구분, 광역지역·추천지역 별도 기재, 취업/창업 유형은 지역우수인재만 작성","F-2-R/E-7-4R/F-4-R/F-3-2R 구분, 신규·재추천/근무처변경/취창업간변경 구분 추가, 거주및취창업 세부유형(A~D, F-2-R만) 신설",document_changed,21,21,"서식8(광역지자체장 추천서)이 전면 개편됨 - 대상 비자유형이 늘고(F-4-R/F-3-2R 추가), 재추천·변경 구분과 세부 거주유형 항목이 새로 생김 / PDF 페이지 기준(1~7차는 HWPX 오프셋 검증 안 됨)"
CHG-006,1,2,procedure,서식3 기본요건 - 광역지자체장 추천서 발급,(해당 항목 없음),추천지역을 관할하는 광역지자체장의 추천서를 발급받음 (기본요건 ㉠~㉣ 모두 충족해야 함),added,,15,서식3(점수제 자체 심사표)의 기본요건에 '광역지자체장 추천서 발급' 항목이 새로 추가됨 / PDF 페이지 기준(1~7차는 HWPX 오프셋 검증 안 됨)
CHG-007,4,5,procedure,필수 제출서류(서식1 첨부) - 외국인등록사실증명,(해당 서류 없음),외국인등록사실증명 추가,added,,8,시군 제출 필수서류 중 서식1 첨부서류 목록에 '외국인등록사실증명'이 새로 추가됨 / PDF 페이지 기준(1~7차는 HWPX 오프셋 검증 안 됨)
CHG-008,7,8,conduct,벌금형 결격사유 기준(추천대상),100만 원 이상,300만 원 이상,value_changed,2,2,"추천대상 결격사유 중 벌금형 기준이 100만원에서 300만원으로 상향됨. F-2-R 공고문도 300만원을 쓰고 있어 정황상 300만원이 최신값으로 보이나, 8차 공고문 자체의 서식3(심사표)은 100만원으로 안 바뀌어 있어 최종 확인 필요(이슈 #14 코멘트 참고) / PDF 페이지 기준(1~7차는 HWPX 오프셋 검증 안 됨)"
CHG-009,7,8,conduct,벌금형 감점 기준(점수제),100만원 미만,300만원 미만,value_changed,3,3,점수제 감점항목 중 벌금형 기준이 100만원 미만에서 300만원 미만으로 상향됨. 결격사유 기준과 같은 방향으로 같이 바뀜 - 위와 같은 사유로 최종 확인 필요 / PDF 페이지 기준(1~7차는 HWPX 오프셋 검증 안 됨)
CHG-010,7,8,conduct,출입국관리법 위반 감점 기준(과태료 포함 여부),3회 이하 위반자로 행정처분을 받은 자(과태료 포함),3회 이하 위반자로 행정처분을 받은 자(과태료 미포함),value_changed,3,3,감점 대상 출입국관리법 위반 이력 산정 시 과태료 처분을 포함할지 여부가 '포함'에서 '미포함'으로 바뀜 - 감점 대상 범위가 좁아짐(신청자에게 유리한 방향) / PDF 페이지 기준(1~7차는 HWPX 오프셋 검증 안 됨)
CHG-011,7,8,employment,근속자 특례 고용허용인원(업종 예외),인구감소관심지역이더라도 뿌리산업은 2명 허용,"인구감소관심지역이더라도 뿌리산업, 농축어업은 2명 허용",scope_changed,7,8,근속자 특례의 업종 예외 범위가 뿌리산업에서 뿌리산업·농축어업으로 확대됨 / PDF 페이지 기준(1~7차는 HWPX 오프셋 검증 안 됨)
CHG-012,7,8,employment,E-7-4/E-7-4R 동시고용 특례,(해당 조항 없음),E-7-4와 E-7-4R을 동시 고용하는 기업은 인구감소지역·뿌리기업·농림축산어업체에서 내국인 71명 초과 또는 인구감소(관심)지역 135명 이상인 경우 등 E-7-4 체류관리 지침 적용이 유리하면 E-7-4 허용인원 기준(내국인 고용인원의 50% 이내) 적용,added,,8,E-7-4와 E-7-4R을 동시에 고용하는 기업에 대한 특례 조항이 새로 신설됨 (current_requirements.csv REQ-103/REQ-115)
